"obj_num","name_1","name_2","preset_amt_1","preset_amt_2","preset_amt_3","preset_amt_4","preset_amt_5","preset_amt_6","preset_amt_7","preset_amt_8","preset_amt_9","preset_amt_10","slu_priority","mi_slu_name_1","mi_slu_name_2","mi_slu_name_3","mi_slu_name_4","mi_slu_name_5","mi_slu_name_6","mi_slu_name_7","mi_slu_name_8","mlvl_class_name","prn_def_class_name","class_def_name","maj_grp_name","fam_grp_name","mi_grp_name","cond_grp_mem_name","cond_req_name","cond_allowed_name","nlu_grp","nlu_num","key_num","cost_1","cost_2","cost_3","cost_4","cost_5","cost_6","cost_7","cost_8","cost_9","cost_10"
"101","OPEN FOOD","OPEN FOOD","","","","","","","","","","","","OPEN ITEMS","","","","","","","","All Levels","CHECK/KITCHEN","OPEN FOOD","FOOD","FOOD - OPEN","All Items","","","FOOD MODS","","","48","","","","","","","","","",""
"102","OPEN BEVERAGE","","","","","","","","","","","","","OPEN ITEMS","","","","","","","","All Levels","CHECK/BAR","OPEN BEVERAGE","BEVERAGE","OPEN BEVERAGE","All Items","","","BAR MODS","","","","","","","","","","","","",""
"103","OPEN BEER","","","","","","","","","","","","","OPEN ITEMS","","","","","","","","All Levels","CHECK/BAR","OPEN BEER","BEER","BEER - OPEN","All Items","","","BAR MODS","","","","","","","","","","","","",""
"104","OPEN WINE","","","","","","","","","","","","","OPEN ITEMS","","","","","","","","All Levels","CHECK/BAR","OPEN WINE","WINE","WINE- OPEN","All Items","","","BAR MODS","","","","","","","","","","","","",""
"105","OPEN LIQUOR","","","","","","","","","","","","","OPEN ITEMS","","","","","","","","All Levels","CHECK/BAR","OPEN LIQUOR","LIQUOR","LIQUOR - OPEN","All Items","","","BAR MODS","","","","","","","","","","","","",""
"106","OPEN RETAIL","","","","","","","","","","","","","OPEN ITEMS","","","","","","","","All Levels","CHECK/BAR","OPEN RETAIL","RETAIL","RETAIL","All Items","","","BAR MODS","","","","","","","","","","","","",""
"151","!FIRE MAINS!","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD ITEM","FOOD","FOOD PREP","","","","","","","","","","","","","","","","",""
"152","!FIRST OUT!","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD ITEM","FOOD","FOOD PREP","","","","","","","","","","","","","","","","",""
"153","!FIRE!","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD ITEM","FOOD","FOOD PREP","","","","","","","","","","","","","","","","",""
"154","!FIRE DESSERT!","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD ITEM","FOOD","FOOD PREP","","","","","","","","","","","","","","","","",""
"155","SKIP","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD PREP","FOOD","FOOD PREP","All Items","HOUSE SALAD CHC","","","","","","","","","","","","","","",""
"156","SKIP","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD PREP","FOOD","FOOD PREP","All Items","ADD CRAB/SKIP","","","","","","","","","","","","","","",""
"157","SKIP","","","","","","","","","","","","","","","","","","","","","All Levels","BAR ONLY","FOOD PREP","FOOD","FOOD PREP","All Items","MARTINI GARNISH","","","","","","","","","","","","","","",""
"159","-SKIP-","","0","","","","","","","","","","","ADDS","FOOD MODS ALL","","","","","","","All Levels","**NO ORDER OUTPUT**","PRICED CONDIMENT","FOOD","PRICED CONDIMENTS","All Items","ADD BACON","","","","","","","","","","","","","","",""
"160","BURNT","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD PREP","FOOD","FOOD PREP","All Items","MEAT TEMP","","","","","","","","","","","","","","",""
"161","END CUT","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD PREP","FOOD","FOOD PREP","All Items","","","","","","","","","","","","","","","",""
"162","RARE","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD PREP","FOOD","FOOD PREP","All Items","MEAT TEMP","","","","","","","","","","","","","","",""
"163","MEDIUM RARE","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD PREP","FOOD","FOOD PREP","All Items","MEAT TEMP","","","","","","","","","","","","","","",""
"164","MEDIUM","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD PREP","FOOD","FOOD PREP","All Items","MEAT TEMP","","","","","","","","","","","","","","",""
"165","MEDIUM WELL","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD PREP","FOOD","FOOD PREP","All Items","MEAT TEMP","","","","","","","","","","","","","","",""
"166","WELL DONE","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD PREP","FOOD","FOOD PREP","All Items","MEAT TEMP","","","","","","","","","","","","","","",""
"167","EXTRA WELL DONE","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD PREP","FOOD","FOOD PREP","All Items","MEAT TEMP","","","","","","","","","","","","","","",""
"168","-SKIP-","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD PREP","FOOD","FOOD PREP","All Items","MEAT TEMP","","","","","","","","","","","","","","",""
"169","STK BLU CHZ","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","STK TOPPING","","","","","","","","","","","","","","",""
"170","STK IT VERDE","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","STK TOPPING","","","","","","","","","","","","","","",""
"171","STK MUSHROOM","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD PREP","FOOD","FOOD PREP","All Items","STK TOPPING","","","","","","","","","","","","","","",""
"172","STK PLAIN","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","STK TOPPING","","","","","","","","","","","","","","",""
"173","STK SHIITAKE","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","","","","","","","","","","","","","","","",""
"174","**EGG TEMP**","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","","","","","","","","","","","","","","","",""
"175","OVER EASY","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","EGG TEMP/MEAT","","","","","","","","","","","","","","",""
"176","OVER MED","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","EGG TEMP/MEAT","","","","","","","","","","","","","","",""
"177","OVER HARD","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","EGG TEMP/MEAT","","","","","","","","","","","","","","",""
"178","POACHED","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","EGG TEMP/MEAT","","","","","","","","","","","","","","",""
"179","SCRAM","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","EGG TEMP/MEAT","","","","","","","","","","","","","","",""
"180","SUNNY SIDE UP","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","EGG TEMP/MEAT","","","","","","","","","","","","","","",""
"181","HASH BROWNS","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","POTATO CHOICE","","","","","","","","","","","","","","",""
"182","FRIED POTS","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","POTATO CHOICE","","","","","","","","","","","","","","",""
"183","-SKIP-","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD PREP","FOOD","FOOD PREP","All Items","EGG TEMP/MEAT","","","","","","","","","","","","","","",""
"184","MARINARA","","","","","","","","","","","","","","","","","","","","","All Levels","CHECK/KITCHEN","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","PASTA SAUCE","","","","","","","","","","","","","","",""
"185","PESTO","","","","","","","","","","","","","","","","","","","","","All Levels","CHECK/KITCHEN","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","PASTA SAUCE","","","","","","","","","","","","","","",""
